,0
164,Lamb Chops (Main)
165,Lamb Hari Mirch
166,Lamb Karahi
167,Lamb Rezala
168,Lamb Roshni
169,Lamb Shashlick
170,Lamb Shashlick Curry
171,Lamb Shaslick
172,Lamb Sylhet
173,Lamb Tikka
174,Lamb Tikka (Main)
175,Lamb Tikka Balti
176,Lamb Tikka Biryani
177,Lamb Tikka Jalfrezi
178,Lamb Tikka Karahi
179,Lamb Tikka Masala
180,Lamb Tikka Pasanda
181,Lamb Tikka Sizzler
182,Lemon Rice
183,Lemonade 1.5 ltr
184,Lime Pickle
185,Madras
186,Madras - Chicken
187,Madras - Chicken Tikka
188,Madras - King Prawn
189,Madras - Lamb
190,Madras - Prawn
191,Madras - chicken
192,Madras - chicken-tikka
193,Madras - king-prawn
194,Madras - lamb
195,Madras - prawn
196,Madras Sauce
197,Malaya
198,Malaya - Chicken
199,Malaya - Chicken Tikka
200,Malaya - Lamb
201,Malaya - Prawn
202,Malaya - chicken
203,Malaya - chicken-tikka
204,Mango Chutney
205,Masala Sauce
206,Meat Samosa
207,Methi
208,Methi - Chicken
209,Methi - Chicken Tikka
210,Methi - King Prawn
211,Methi - Lamb
212,Methi - Prawn
213,Methi - chicken
214,Methi - king-prawn
215,Methi - lamb
216,Mini Bhaji
217,Mint Sauce
218,Mix Starter
219,Mixed Raita
220,Mixed Starter
221,Murgh Masala
222,Mushroom
223,Mushroom - Chicken
224,Mushroom - Chicken Tikka
225,Mushroom - King Prawn
226,Mushroom - Lamb
227,Mushroom - chicken
228,Mushroom - chicken-tikka
229,Mushroom - lamb
230,Mushroom Bhajee
231,Mushroom Rice
232,Muttar Paneer
233,Naan
234,Onion Bhaji
235,Onion Chutney
236,Onion Rice
237,Paneer Dansak
238,Paneer Karahi
239,Paneer Kurma
240,Paneer Pakora
241,Paneer Shaslick
242,Paneer Sizzler
243,Paneer Tikka Masala
244,Paner Pakora
245,Paratha
246,Pathia
247,Pathia - Chicken
248,Pathia - Chicken Tikka
249,Pathia - King Prawn
250,Pathia - Lamb
251,Pathia - Prawn
252,Pathia - chicken
253,Pathia - chicken-tikka
254,Pathia - king-prawn
255,Pathia - lamb
256,Pathia - prawn
257,Perrier Water 75cl
258,Persian Chicken Biryani
259,Persian Lamb Biryani
260,Peshwari Naan
261,Pilau Rice
262,Plain Papadum
263,Plain Rice
264,Prawn Balti
265,Prawn Biryani
266,Prawn Karahi
267,Prawn Puree
268,Puree
269,Red Sauce
270,Rogon
271,Rogon - Chicken
272,Rogon - Chicken Tikka
273,Rogon - King Prawn
274,Rogon - Lamb
275,Rogon - chicken
276,Rogon - chicken-tikka
277,Rogon - lamb
278,Royal Paneer
279,Saag
280,Saag - Chicken
281,Saag - Chicken Tikka
282,Saag - King Prawn
283,Saag - Lamb
284,Saag - Prawn
285,Saag - chicken
286,Saag - chicken-tikka
287,Saag - king-prawn
288,Saag - lamb
289,Saag Aloo
290,Saag Bhajee
291,Saag Dall
292,Saag Paneer
293,Saag Rice
294,Sheek Kebab
295,Sheek Kebab (Main)
296,Sheek Kehab
297,Special Fried Rice
298,Spicy Papadum
299,Stuffed Paratha
300,Tandoori Chicken
301,Tandoori Chicken (Main)
302,Tandoori Chicken Masala
303,Tandoori Fish
304,Tandoori Fish (Main)
305,Tandoori Fish Jalfrezi
306,Tandoori Fish Karahi
307,Tandoori King Prawn Garlic
308,Tandoori King Prawn Masala
309,Tandoori Mixed Grill
310,Tandoori Paratha
311,Tandoori Roti
312,Tarka Dall
313,Vegetable Balti
314,Vegetable Bhuna
315,Vegetable Biryani
316,Vegetable Curry
317,Vegetable Dansak
318,Vegetable Jalfrezi
319,Vegetable Karahi
320,Vegetable Korma
321,Vegetable Masala
322,Vegetable Rice
323,Vegetable Samba
324,Vegetable Samosa
325,Vindaloo
326,Vindaloo - Chicken
327,Vindaloo - Chicken Tikka
328,Vindaloo - King Prawn
329,Vindaloo - Lamb
330,Vindaloo - Prawn
331,Vindaloo - chicken
332,Vindaloo - chicken-tikka
333,Vindaloo - king-prawn
334,Vindaloo - lamb
335,Vindaloo - prawn
336,Vindaloo Sauce
